"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,152,156.632","628,885.807","00 53 16.79","0.99980462","N/A"
"UTM Zone 10","4,164,765.888","621,979.534","00 50 37.98","0.99978327","N/A"
"UTM Zone 10","4,170,188.889","617,892.097","00 49 01.39","0.99977119","N/A"
"UTM Zone 10","4,176,599.520","612,946.015","00 47 03.90","0.99975713","N/A"
"UTM Zone 10","4,183,009.754","607,999.057","00 45 05.88","0.99974366","N/A"
"UTM Zone 10","4,187,329.087","605,452.201","00 44 05.79","0.99973696","N/A"
"UTM Zone 10","4,192,153.903","598,920.170","00 41 25.83","0.99972052","N/A"
