"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,252,191.844","567,820.178","00 28 57.82","0.99965664","N/A"
"UTM Zone 10","4,242,098.127","570,613.116","00 30 03.49","0.99966141","N/A"
"UTM Zone 10","4,232,003.209","573,405.245","00 31 08.69","0.99966636","N/A"
"UTM Zone 10","4,223,250.422","575,977.352","00 32 08.70","0.99967109","N/A"
"UTM Zone 10","4,218,259.259","577,987.104","00 32 56.51","0.99967490","N/A"
"UTM Zone 10","4,211,049.746","579,936.752","00 33 41.20","0.99967870","N/A"
