"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,460,072.132","582,019.915","00 37 26.29","0.99968281","N/A"
"UTM Zone 10","4,452,705.809","571,697.319","00 32 39.03","0.99966328","N/A"
"UTM Zone 10","4,450,230.514","568,970.609","00 31 23.05","0.99965856","N/A"
"UTM Zone 10","4,448,297.090","565,251.451","00 29 40.43","0.99965241","N/A"
"UTM Zone 10","4,446,969.056","561,217.250","00 27 49.66","0.99964613","N/A"
"UTM Zone 10","4,440,023.510","554,351.876","00 24 39.15","0.99963637","N/A"
"UTM Zone 10","4,437,836.295","551,245.572","00 23 13.65","0.99963233","N/A"
