"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,181,982.682","572,386.345","00 30 13.16","0.99966454","N/A"
"UTM Zone 10","4,187,479.190","568,979.695","00 28 50.92","0.99965860","N/A"
"UTM Zone 10","4,198,206.842","561,751.207","00 25 54.95","0.99964696","N/A"
"UTM Zone 10","4,203,589.239","557,454.379","00 24 09.29","0.99964066","N/A"
"UTM Zone 10","4,212,815.537","552,173.109","00 22 00.01","0.99963352","N/A"
"UTM Zone 10","4,215,914.764","550,610.713","00 21 21.77","0.99963155","N/A"
"UTM Zone 10","4,226,309.044","547,025.240","00 19 54.98","0.99962723","N/A"
