"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,330,001.990","562,441.616","00 27 20.56","0.99964801","N/A"
"UTM Zone 10","4,318,208.209","567,524.166","00 29 27.38","0.99965614","N/A"
"UTM Zone 10","4,306,413.233","572,605.306","00 31 33.17","0.99966491","N/A"
"UTM Zone 10","4,294,617.000","577,685.017","00 33 37.94","0.99967431","N/A"
"UTM Zone 10","4,282,819.451","582,763.244","00 35 41.68","0.99968435","N/A"
