"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,057,603.984","709,817.288","01 24 04.20","1.00014240","N/A"
"UTM Zone 10","4,049,747.926","719,216.769","01 27 36.34","1.00019210","N/A"
"UTM Zone 10","4,041,890.899","728,614.079","01 31 07.26","1.00024397","N/A"
