"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,108,478.096","665,011.176","01 07 14.45","0.99993543","N/A"
"UTM Zone 10","4,100,265.176","665,607.719","01 07 18.18","0.99993787","N/A"
"UTM Zone 10","4,093,337.447","671,385.946","01 09 29.53","0.99996186","N/A"
"UTM Zone 10","4,086,409.007","677,162.935","01 11 40.21","0.99998668","N/A"
"UTM Zone 10","4,080,237.881","682,104.550","01 13 31.14","1.00000855","N/A"
"UTM Zone 10","4,074,066.140","687,045.203","01 15 21.57","1.00003103","N/A"
"UTM Zone 10","4,064,787.039","690,860.488","01 16 39.72","1.00004880","N/A"
"UTM Zone 10","4,055,506.384","694,674.432","01 17 57.29","1.00006693","N/A"
