"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,254,037.700","602,985.210","00 44 00.24","0.99973061","N/A"
"UTM Zone 10","4,247,706.906","606,521.250","00 45 25.30","0.99973974","N/A"
"UTM Zone 10","4,241,375.709","610,056.706","00 46 49.98","0.99974917","N/A"
"UTM Zone 10","4,234,841.127","612,969.769","00 47 58.25","0.99975717","N/A"
"UTM Zone 10","4,225,214.828","617,615.556","00 49 47.27","0.99977037","N/A"
"UTM Zone 10","4,215,892.408","619,769.832","00 50 32.81","0.99977667","N/A"
"UTM Zone 10","4,206,519.635","621,414.596","00 51 05.13","0.99978156","N/A"
"UTM Zone 10","4,196,389.847","620,490.436","00 50 31.85","0.99977881","N/A"
"UTM Zone 10","4,189,556.414","618,946.865","00 49 46.40","0.99977426","N/A"
