"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,186,775.865","594,836.384","00 39 39.08","0.99971077","N/A"
"UTM Zone 10","4,189,920.855","587,135.495","00 36 28.16","0.99969351","N/A"
"UTM Zone 10","4,191,849.644","585,678.560","00 35 52.93","0.99969041","N/A"
"UTM Zone 10","4,195,058.671","583,951.522","00 35 11.73","0.99968680","N/A"
