"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,129,841.174","574,234.497","00 30 28.20","0.99966788","N/A"
"UTM Zone 10","4,134,036.902","569,400.946","00 28 31.51","0.99965933","N/A"
"UTM Zone 10","4,138,096.123","565,919.859","00 27 07.82","0.99965353","N/A"
"UTM Zone 10","4,144,914.174","558,190.616","00 24 00.17","0.99964171","N/A"
"UTM Zone 10","4,153,048.157","553,781.615","00 22 14.58","0.99963563","N/A"
"UTM Zone 10","4,160,037.344","544,701.367","00 18 31.79","0.99962461","N/A"
"UTM Zone 10","4,165,972.685","539,138.348","00 16 15.32","0.99961887","N/A"
