"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,147,966.063","560,632.783","00 25 02.10","0.99964528","N/A"
"UTM Zone 10","4,141,195.826","570,041.673","00 28 51.34","0.99966043","N/A"
"UTM Zone 10","4,134,425.888","579,448.866","00 32 39.52","0.99967775","N/A"
"UTM Zone 10","4,130,006.444","582,415.330","00 33 49.74","0.99968367","N/A"
"UTM Zone 10","4,125,826.536","587,745.428","00 35 58.05","0.99969484","N/A"
"UTM Zone 10","4,122,349.786","592,652.626","00 37 56.13","0.99970575","N/A"
"UTM Zone 10","4,119,352.948","598,134.302","00 40 08.41","0.99971863","N/A"
"UTM Zone 10","4,117,168.094","610,473.556","00 45 09.22","0.99975034","N/A"
