"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,074,968.945","699,976.961","01 20 35.30","1.00009270","N/A"
"UTM Zone 10","4,065,578.632","705,269.235","01 22 27.89","1.00011913","N/A"
"UTM Zone 10","4,056,186.683","710,559.761","01 24 19.68","1.00014625","N/A"
