"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,033,088.342","681,635.670","01 12 12.29","1.00000649","N/A"
"UTM Zone 10","4,043,638.678","673,414.837","01 09 10.72","0.99997052","N/A"
"UTM Zone 10","4,049,689.702","667,418.967","01 06 55.28","0.99994533","N/A"
"UTM Zone 10","4,055,402.200","662,131.949","01 04 55.86","0.99992386","N/A"
"UTM Zone 10","4,061,114.211","656,843.984","01 02 55.94","0.99990308","N/A"
"UTM Zone 10","4,067,241.634","652,188.870","01 01 11.30","0.99988535","N/A"
"UTM Zone 10","4,072,301.468","646,823.220","00 59 07.81","0.99986558","N/A"
"UTM Zone 10","4,078,265.963","643,013.442","00 57 42.56","0.99985197","N/A"
