"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,211,049.746","579,936.752","00 33 41.20","0.99967870","N/A"
"UTM Zone 10","4,206,058.093","582,905.346","00 34 52.86","0.99968465","N/A"
"UTM Zone 10","4,200,109.563","586,692.482","00 36 24.24","0.99969256","N/A"
"UTM Zone 10","4,195,191.741","588,788.903","00 37 13.48","0.99969710","N/A"
