"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,151,069.208","591,747.761","00 37 55.08","0.99970368","N/A"
"UTM Zone 10","4,142,089.401","593,662.700","00 38 35.78","0.99970806","N/A"
"UTM Zone 10","4,135,833.983","597,489.839","00 40 05.48","0.99971707","N/A"
"UTM Zone 10","4,130,787.929","604,135.956","00 42 45.20","0.99973358","N/A"
"UTM Zone 10","4,125,741.895","610,781.177","00 45 24.36","0.99975118","N/A"
"UTM Zone 10","4,119,760.116","615,259.181","00 47 08.93","0.99976365","N/A"
"UTM Zone 10","4,115,004.953","621,240.915","00 49 31.08","0.99978108","N/A"
