"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,472,191.388","570,322.006","00 32 13.41","0.99966087","N/A"
"UTM Zone 10","4,473,326.985","575,237.473","00 34 29.28","0.99966968","N/A"
"UTM Zone 10","4,475,169.392","578,235.913","00 35 52.99","0.99967534","N/A"
"UTM Zone 10","4,475,941.612","582,137.811","00 37 40.90","0.99968305","N/A"
"UTM Zone 10","4,477,744.760","586,500.405","00 39 42.33","0.99969210","N/A"
"UTM Zone 10","4,477,795.646","588,761.842","00 40 44.64","0.99969698","N/A"
"UTM Zone 10","4,479,199.363","593,005.601","00 42 42.63","0.99970647","N/A"
"UTM Zone 10","4,480,221.404","598,269.484","00 45 08.51","0.99971887","N/A"
"UTM Zone 10","4,480,158.549","600,805.659","00 46 18.34","0.99972508","N/A"
