"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,097,067.259","673,521.900","01 10 26.60","0.99997094","N/A"
"UTM Zone 10","4,106,596.789","666,426.186","01 07 46.52","0.99994121","N/A"
"UTM Zone 10","4,112,486.101","663,360.024","01 06 39.33","0.99992875","N/A"
"UTM Zone 10","4,117,198.884","657,896.095","01 04 31.60","0.99990712","N/A"
"UTM Zone 10","4,123,996.187","653,358.715","01 02 48.75","0.99988972","N/A"
"UTM Zone 10","4,129,216.590","650,514.549","01 01 45.20","0.99987907","N/A"
