"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,281,617.297","555,305.660","00 23 50.68","0.99963767","N/A"
"UTM Zone 10","4,292,861.434","553,248.020","00 23 02.44","0.99963491","N/A"
"UTM Zone 10","4,298,751.027","553,444.609","00 23 10.18","0.99963517","N/A"
"UTM Zone 10","4,304,069.383","551,502.246","00 22 21.95","0.99963266","N/A"
"UTM Zone 10","4,310,386.962","547,198.793","00 20 32.32","0.99962743","N/A"
"UTM Zone 10","4,316,591.438","543,302.858","00 18 52.86","0.99962309","N/A"
