"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,177,375.386","630,050.499","00 54 12.19","0.99980832","N/A"
"UTM Zone 10","4,167,356.686","638,604.100","00 57 34.74","0.99983663","N/A"
"UTM Zone 10","4,157,336.985","647,155.340","01 00 55.85","0.99986674","N/A"
"UTM Zone 10","4,147,316.200","655,704.184","01 04 15.52","0.99989864","N/A"
"UTM Zone 10","4,137,294.243","664,250.582","01 07 33.76","0.99993233","N/A"
"UTM Zone 10","4,127,271.032","672,794.509","01 10 50.57","0.99996781","N/A"
