"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,139,601.704","606,006.586","00 43 38.78","0.99973842","N/A"
"UTM Zone 10","4,149,021.857","595,967.872","00 39 38.12","0.99971344","N/A"
"UTM Zone 10","4,155,180.818","591,941.594","00 38 02.94","0.99970412","N/A"
"UTM Zone 10","4,161,339.355","587,914.608","00 36 27.34","0.99969520","N/A"
"UTM Zone 10","4,166,291.528","583,736.946","00 34 46.77","0.99968637","N/A"
"UTM Zone 10","4,170,804.315","580,042.043","00 33 17.63","0.99967891","N/A"
"UTM Zone 10","4,181,982.682","572,386.345","00 30 13.16","0.99966454","N/A"
