"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,418,661.803","621,835.665","00 54 52.63","0.99978274","N/A"
"UTM Zone 10","4,421,619.949","618,770.658","00 53 32.86","0.99977366","N/A"
"UTM Zone 10","4,426,139.164","616,365.900","00 52 32.37","0.99976670","N/A"
"UTM Zone 10","4,427,754.278","614,298.602","00 51 37.98","0.99976083","N/A"
"UTM Zone 10","4,430,160.207","613,192.826","00 51 10.37","0.99975773","N/A"
"UTM Zone 10","4,442,891.728","610,381.663","00 50 06.32","0.99974999","N/A"
