"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,110,846.865","593,239.545","00 38 01.97","0.99970709","N/A"
"UTM Zone 10","4,107,455.683","601,932.605","00 41 31.91","0.99972799","N/A"
"UTM Zone 10","4,104,477.565","608,779.287","00 44 16.66","0.99974577","N/A"
"UTM Zone 10","4,096,744.673","617,409.041","00 47 40.11","0.99976982","N/A"
"UTM Zone 10","4,093,496.458","622,328.138","00 49 36.74","0.99978435","N/A"
"UTM Zone 10","4,086,284.817","631,747.952","00 53 18.31","0.99981383","N/A"
"UTM Zone 10","4,081,706.143","641,552.267","00 57 11.06","0.99984685","N/A"
