"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,002,572.745","615,141.140","00 45 19.52","0.99976335","N/A"
"UTM Zone 10","4,003,506.148","609,299.722","00 43 02.38","0.99974720","N/A"
"UTM Zone 10","4,004,681.339","607,448.404","00 42 19.64","0.99974225","N/A"
"UTM Zone 10","4,005,966.608","604,202.404","00 41 03.98","0.99973379","N/A"
"UTM Zone 10","4,009,247.186","598,972.892","00 39 02.89","0.99972069","N/A"
"UTM Zone 10","4,010,897.532","590,146.798","00 35 35.16","0.99970013","N/A"
