"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,171,978.343","610,295.406","00 45 53.52","0.99974984","N/A"
"UTM Zone 10","4,173,728.256","606,395.253","00 44 17.69","0.99973943","N/A"
"UTM Zone 10","4,174,063.729","603,806.852","00 43 13.33","0.99973273","N/A"
"UTM Zone 10","4,174,783.443","599,625.457","00 41 29.48","0.99972225","N/A"
"UTM Zone 10","4,177,308.417","595,535.915","00 39 49.27","0.99971242","N/A"
"UTM Zone 10","4,182,150.494","591,681.257","00 38 16.50","0.99970353","N/A"
